name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Paraburkholderia acidisoli	2571748	S	29	4	33	0.00009
Paraburkholderia phytofirmans	261302	S	26	11	37	0.00010
Paraburkholderia phymatum	148447	S	25	6	31	0.00009
Paraburkholderia bryophila	420952	S	25	6	31	0.00009
Paraburkholderia sabiae	273251	S	24	5	29	0.00008
Paraburkholderia acidiphila	2571747	S	23	3	26	0.00007
Paraburkholderia hospita	169430	S	22	22	44	0.00012
Paraburkholderia kirstenboschensis	1245436	S	22	7	29	0.00008
Paraburkholderia caffeinilytica	1761016	S	21	6	27	0.00008
Paraburkholderia edwinii	2861782	S	21	3	24	0.00007
Paraburkholderia sprentiae	948107	S	20	4	24	0.00007
Paraburkholderia terrae	311230	S	19	21	40	0.00011
Paraburkholderia kururiensis	984307	S	19	0	19	0.00005
Paraburkholderia atlantica	2654982	S	19	4	23	0.00006
Paraburkholderia graminis	60548	S	17	4	21	0.00006
Paraburkholderia acidicola	1912599	S	17	0	17	0.00005
Paraburkholderia xenovorans	36873	S	17	10	27	0.00008
Paraburkholderia megapolitana	420953	S	16	1	17	0.00005
Paraburkholderia terricola	169427	S	16	4	20	0.00006
Paraburkholderia dokdonensis	2211211	S	15	3	18	0.00005
Paraburkholderia ginsengisoli	311231	S	15	4	19	0.00005
Paraburkholderia dioscoreae	2604047	S	14	9	23	0.00006
Paraburkholderia bonniea	2152891	S	10	0	10	0.00003
Ralstonia solanacearum	305	S	107	29	136	0.00038
Ralstonia pseudosolanacearum	1310165	S	44	25	69	0.00019
Ralstonia syzygii	28097	S	19	132	151	0.00043
Ralstonia mannitolilytica	105219	S	66	10	76	0.00021
Ralstonia sp. UNC404CL21Col	1380362	S	13	0	13	0.00004
Ralstonia sp. CP	3231757	S	10	0	10	0.00003
Ralstonia insidiosa	190721	S	22	2	24	0.00007
Ralstonia pickettii	329	S	17	2	19	0.00005
Ralstonia wenshanensis	2842456	S	12	1	13	0.00004
Pandoraea pnomenusa	93220	S	53	13	66	0.00019
Pandoraea thiooxydans	445709	S	41	2	43	0.00012
Pandoraea vervacti	656178	S	24	6	30	0.00008
Pandoraea apista	93218	S	23	7	30	0.00008
