# Constructed from biom file
#OTU ID	0-kraken_report	1-kraken_report	2-kraken_report
200451	26.0	17.0	26.0
198620	19.0	0.0	0.0
47878	20.0	18.0	26.0
651740	15.0	0.0	11.0
29442	14.0	21.0	30.0
47879	13.0	0.0	0.0
129817	11.0	0.0	0.0
298	13.0	0.0	0.0
317	131.0	85.0	81.0
33069	57.0	17.0	22.0
47877	40.0	0.0	0.0
251699	15.0	0.0	10.0
2995658	14.0	0.0	0.0
1691904	68.0	0.0	38.0
319939	66.0	30.0	55.0
1245526	67.0	17.0	83.0
556533	65.0	11.0	43.0
364197	54.0	16.0	32.0
312306	46.0	17.0	25.0
2725477	42.0	16.0	41.0
114707	34.0	10.0	0.0
2906062	38.0	40.0	13.0
1392877	35.0	21.0	48.0
2604832	32.0	14.0	26.0
640205	29.0	0.0	14.0
2731681	29.0	0.0	20.0
2961893	37.0	16.0	30.0
2931382	30.0	0.0	17.0
104087	28.0	11.0	19.0
157783	26.0	0.0	0.0
1198456	28.0	17.0	24.0
2320867	25.0	12.0	27.0
2493633	30.0	0.0	0.0
1605838	25.0	13.0	11.0
1499686	25.0	0.0	12.0
359110	24.0	54.0	22.0
89065	21.0	10.0	13.0
289370	21.0	0.0	0.0
237609	21.0	0.0	27.0
489632	27.0	0.0	20.0
2726956	19.0	0.0	15.0
2762576	18.0	10.0	16.0
2842356	19.0	13.0	20.0
437900	17.0	0.0	15.0
2684212	26.0	0.0	0.0
485898	16.0	10.0	0.0
2731552	19.0	0.0	18.0
2745495	16.0	0.0	11.0
65741	17.0	17.0	29.0
2219225	29.0	0.0	24.0
2056231	22.0	0.0	0.0
2565368	17.0	0.0	16.0
2599595	14.0	0.0	12.0
1853130	14.0	0.0	10.0
216142	13.0	0.0	0.0
46677	13.0	0.0	0.0
515393	14.0	0.0	0.0
2842348	16.0	0.0	22.0
1148509	13.0	0.0	0.0
930166	18.0	15.0	22.0
244566	13.0	0.0	0.0
554344	14.0	0.0	0.0
2518644	12.0	0.0	0.0
3136737	12.0	0.0	0.0
2666183	18.0	0.0	22.0
2364649	12.0	0.0	12.0
2842357	24.0	0.0	0.0
226910	12.0	0.0	13.0
101564	15.0	0.0	0.0
702115	11.0	0.0	0.0
47884	11.0	0.0	0.0
2600598	11.0	0.0	12.0
2746321	13.0	0.0	0.0
3110772	11.0	0.0	15.0
321846	13.0	13.0	13.0
86265	11.0	0.0	0.0
395598	11.0	0.0	0.0
95300	11.0	0.0	0.0
219572	12.0	0.0	16.0
198618	11.0	0.0	10.0
2842349	10.0	0.0	0.0
1788301	10.0	10.0	0.0
2867264	10.0	10.0	14.0
157782	10.0	0.0	0.0
915099	11.0	0.0	12.0
316	239.0	102.0	159.0
74829	82.0	24.0	42.0
2968969	37.0	0.0	0.0
857252	55.0	0.0	0.0
472181	21.0	0.0	23.0
2918528	15.0	0.0	0.0
553151	15.0	0.0	0.0
487184	15.0	0.0	0.0
797277	14.0	0.0	0.0
2830842	13.0	0.0	0.0
1931241	13.0	0.0	0.0
1708783	13.0	0.0	0.0
3041098	10.0	0.0	0.0
353	39.0	26.0	53.0
69964	32.0	0.0	22.0
1510150	19.0	0.0	10.0
521720	18.0	0.0	0.0
2817656	26.0	21.0	0.0
1420917	27.0	25.0	27.0
2603215	15.0	0.0	0.0
2743	42.0	0.0	0.0
1305740	13.0	0.0	0.0
2769486	23.0	0.0	0.0
1249552	10.0	0.0	0.0
648	5831.0	3736.0	10593.0
2778064	398.0	362.0	423.0
3081770	113.0	125.0	105.0
2778058	103.0	125.0	98.0
1636609	80.0	50.0	78.0
1636607	107.0	59.0	102.0
2033033	34.0	18.0	31.0
2675707	161.0	146.0	368.0
1636608	176.0	67.0	188.0
2778055	74.0	52.0	163.0
2778051	61.0	49.0	125.0
2778056	24.0	0.0	0.0
2778054	21.0	0.0	0.0
1920107	88.0	0.0	147.0
1758179	65.0	41.0	126.0
1636606	62.0	69.0	132.0
2778067	31.0	0.0	41.0
2033032	13.0	12.0	12.0
2560028	15.0	0.0	0.0
654	1149.0	810.0	1257.0
644	1025.0	660.0	1678.0
651	599.0	330.0	1208.0
645	315.0	168.0	350.0
196024	222.0	153.0	299.0
656	170.0	176.0	202.0
650	92.0	63.0	114.0
29489	82.0	34.0	54.0
218936	74.0	23.0	83.0
652	66.0	31.0	72.0
73010	63.0	40.0	114.0
948519	62.0	36.0	77.0
648794	45.0	21.0	57.0
70856	32.0	14.0	32.0
105751	12.0	11.0	23.0
263765	768.0	1425.0	4365.0
43948	175.0	108.0	429.0
511062	15.0	0.0	0.0
2977120	10.0	0.0	10.0
3028314	16.0	0.0	0.0
347534	15.0	0.0	13.0
83771	14.0	28.0	0.0
2771436	186.0	74.0	59.0
2714945	170.0	37.0	58.0
2202149	465.0	54.0	553.0
215691	227.0	42.0	58.0
1463158	189.0	25.0	50.0
2884874	98.0	14.0	32.0
2904253	54.0	21.0	39.0
3140250	34.0	0.0	33.0
2762611	37.0	13.0	24.0
2904252	31.0	0.0	29.0
2820808	40.0	20.0	29.0
2290922	29.0	17.0	39.0
2925843	27.0	14.0	24.0
69	273.0	121.0	158.0
435897	155.0	66.0	81.0
2698682	98.0	72.0	63.0
1324796	94.0	34.0	1216.0
2865112	63.0	12.0	41.0
1605891	52.0	17.0	28.0
453783	56.0	27.0	41.0
2763317	47.0	11.0	37.0
2591633	40.0	14.0	24.0
84531	43.0	13.0	43.0
2822368	39.0	0.0	24.0
1792846	33.0	16.0	27.0
2795387	32.0	0.0	26.0
2992573	26.0	15.0	30.0
2764185	19.0	18.0	16.0
3160841	25.0	0.0	22.0
3240912	18.0	0.0	14.0
2982531	49.0	0.0	0.0
3160842	11.0	12.0	0.0
3115848	10.0	0.0	0.0
3240913	10.0	0.0	0.0
339	215.0	50.0	79.0
346	77.0	115.0	250.0
343	222.0	92.0	101.0
56458	64.0	32.0	39.0
56448	69.0	36.0	43.0
56459	46.0	0.0	14.0
347	47.0	43.0	52.0
56454	37.0	16.0	25.0
48664	25.0	10.0	15.0
29447	23.0	12.0	36.0
56464	23.0	0.0	16.0
56460	30.0	0.0	0.0
1885674	16.0	0.0	0.0
743699	19.0	0.0	12.0
56453	15.0	0.0	17.0
2053930	13.0	12.0	14.0
1843581	11.0	0.0	12.0
56450	14.0	0.0	0.0
1985254	16.0	0.0	0.0
56455	14.0	0.0	12.0
40324	509.0	348.0	528.0
2072413	41.0	0.0	32.0
3055080	50.0	46.0	37.0
3068324	35.0	0.0	15.0
3055079	24.0	0.0	21.0
2770322	15.0	0.0	18.0
3027225	44.0	0.0	0.0
3051119	17.0	0.0	0.0
128780	242.0	222.0	265.0
216778	53.0	22.0	41.0
3003271	24.0	22.0	21.0
3003272	15.0	0.0	26.0
128785	516.0	933.0	457.0
1664560	67.0	45.0	39.0
2969308	34.0	0.0	13.0
2995142	34.0	24.0	25.0
1871049	28.0	10.0	13.0
2571115	26.0	14.0	16.0
314722	102.0	56.0	101.0
415229	36.0	16.0	31.0
266062	28.0	25.0	26.0
2480810	29.0	17.0	27.0
2925842	31.0	0.0	19.0
1896164	29.0	15.0	14.0
2799326	28.0	0.0	20.0
2799325	29.0	14.0	17.0
2508168	23.0	22.0	14.0
2901869	28.0	0.0	17.0
2006110	24.0	0.0	0.0
1176533	25.0	12.0	25.0
2565782	22.0	0.0	18.0
370777	50.0	19.0	30.0
2511995	30.0	11.0	17.0
2371	13.0	0.0	14.0
3031330	36.0	0.0	0.0
3158582	16.0	0.0	10.0
2778082	25.0	0.0	0.0
416169	88.0	24.0	47.0
666685	56.0	0.0	32.0
582702	25.0	0.0	18.0
2994496	28.0	0.0	0.0
3075430	27.0	10.0	18.0
3069105	18.0	0.0	18.0
445710	43.0	20.0	38.0
231455	25.0	11.0	0.0
522259	21.0	0.0	14.0
2763498	20.0	0.0	13.0
1849581	13.0	0.0	13.0
2780091	26.0	0.0	0.0
242606	26.0	0.0	11.0
2911539	26.0	0.0	14.0
2911537	22.0	0.0	16.0
2911538	16.0	0.0	20.0
2589080	17.0	0.0	17.0
564369	12.0	0.0	13.0
323415	89.0	23.0	45.0
1542730	29.0	0.0	16.0
2898793	22.0	0.0	18.0
81475	11.0	0.0	0.0
2976241	56.0	22.0	55.0
2021234	33.0	0.0	12.0
2010829	30.0	12.0	26.0
2661630	888.0	0.0	0.0
2742796	36.0	0.0	0.0
2597518	23.0	0.0	0.0
187493	23.0	0.0	17.0
3100113	11.0	0.0	0.0
48076	44.0	0.0	0.0
518898	14.0	0.0	0.0
420402	10.0	0.0	0.0
2895352	21.0	0.0	0.0
2982692	38.0	0.0	0.0
2811227	16.0	0.0	13.0
2956797	54.0	0.0	0.0
2952527	41.0	0.0	0.0
3084920	13.0	0.0	0.0
3061632	24.0	0.0	0.0
3036127	24.0	0.0	0.0
29570	28.0	0.0	0.0
475662	21.0	0.0	0.0
3031727	16.0	0.0	0.0
2733488	20.0	0.0	0.0
507626	14.0	0.0	0.0
2746	13.0	0.0	52.0
141390	26.0	0.0	25.0
141389	21.0	0.0	0.0
1949083	36.0	0.0	30.0
1949085	11.0	0.0	0.0
2497861	23.0	0.0	0.0
1883414	23.0	0.0	0.0
376489	16.0	0.0	16.0
1872427	59.0	19.0	29.0
1306787	29.0	0.0	0.0
285091	16.0	0.0	0.0
3015983	16.0	0.0	0.0
1628392	11.0	0.0	0.0
158327	11.0	0.0	0.0
2161747	14.0	0.0	0.0
1445505	12.0	0.0	0.0
141451	13.0	0.0	0.0
553982	53.0	0.0	17.0
1049	29.0	0.0	14.0
2952932	29.0	0.0	10.0
631362	27.0	10.0	0.0
77007	21.0	0.0	0.0
2024551	34.0	0.0	19.0
521689	32.0	0.0	16.0
73141	64.0	13.0	17.0
2545632	19.0	0.0	0.0
3019969	16.0	0.0	0.0
1763998	14.0	16.0	27.0
1166950	42.0	17.0	29.0
37487	41.0	12.0	11.0
80679	33.0	0.0	13.0
1050	25.0	0.0	13.0
2699430	14.0	0.0	10.0
1973002	274.0	0.0	0.0
1543721	32.0	0.0	0.0
191960	29.0	0.0	0.0
3096260	39.0	0.0	0.0
393765	37.0	0.0	0.0
1033854	34.0	0.0	17.0
186931	36.0	0.0	19.0
396595	18.0	0.0	0.0
106634	18.0	0.0	0.0
108010	17.0	13.0	0.0
1765967	31.0	11.0	12.0
2792603	26.0	0.0	13.0
2819280	14.0	0.0	0.0
2182432	23.0	14.0	0.0
1855875	12.0	0.0	0.0
1335746	13.0	0.0	0.0
1442136	19.0	0.0	0.0
421628	20.0	0.0	0.0
